timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.sm [MHz], power.draw [W], temperature.gpu, pstate, clocks_event_reasons.active
2026/08/26 22:06:14.475, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 222.57 W, 61, P2, 0x0000000000000000
2026/08/26 22:06:15.475, 0, 20774 MiB, 83 %, 1950 MHz, 1950 MHz, 215.09 W, 60, P2, 0x0000000000000000
2026/08/26 22:06:16.475, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 224.14 W, 60, P2, 0x0000000000000000
2026/08/26 22:06:17.475, 0, 20774 MiB, 85 %, 1950 MHz, 1950 MHz, 224.62 W, 60, P2, 0x0000000000000000
2026/08/26 22:06:18.476, 0, 20774 MiB, 83 %, 1950 MHz, 1950 MHz, 223.28 W, 60, P2, 0x0000000000000000
2026/08/26 22:06:19.476, 0, 20774 MiB, 87 %, 1950 MHz, 1950 MHz, 224.23 W, 60, P2, 0x0000000000000000
2026/08/26 22:06:20.476, 0, 20774 MiB, 83 %, 1950 MHz, 1950 MHz, 223.55 W, 60, P2, 0x0000000000000000
2026/08/26 22:06:21.476, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 221.12 W, 61, P2, 0x0000000000000000
2026/08/26 22:06:22.476, 0, 20774 MiB, 81 %, 1950 MHz, 1950 MHz, 224.76 W, 61, P2, 0x0000000000000000
2026/08/26 22:06:23.476, 0, 20774 MiB, 85 %, 1950 MHz, 1950 MHz, 222.80 W, 61, P2, 0x0000000000000000
2026/08/26 22:06:24.477, 0, 20774 MiB, 80 %, 1950 MHz, 1950 MHz, 226.43 W, 61, P2, 0x0000000000000000
2026/08/26 22:06:25.477, 0, 20774 MiB, 79 %, 1950 MHz, 1950 MHz, 212.42 W, 61, P2, 0x0000000000000000
2026/08/26 22:06:26.477, 0, 20774 MiB, 81 %, 1950 MHz, 1950 MHz, 226.52 W, 61, P2, 0x0000000000000000
2026/08/26 22:06:27.477, 0, 20774 MiB, 81 %, 1950 MHz, 1950 MHz, 224.07 W, 61, P2, 0x0000000000000000
2026/08/26 22:06:28.477, 0, 20774 MiB, 83 %, 1950 MHz, 1950 MHz, 223.52 W, 61, P2, 0x0000000000000000
2026/08/26 22:06:29.477, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 225.85 W, 61, P2, 0x0000000000000000
2026/08/26 22:06:30.478, 0, 20774 MiB, 82 %, 1950 MHz, 1950 MHz, 227.14 W, 61, P2, 0x0000000000000000
2026/08/26 22:06:31.478, 0, 20774 MiB, 83 %, 1950 MHz, 1950 MHz, 223.12 W, 61, P2, 0x0000000000000000
2026/08/26 22:06:32.478, 0, 20774 MiB, 81 %, 1950 MHz, 1950 MHz, 224.24 W, 62, P2, 0x0000000000000000
2026/08/26 22:06:33.478, 0, 20774 MiB, 82 %, 1950 MHz, 1950 MHz, 223.59 W, 61, P2, 0x0000000000000000
2026/08/26 22:06:34.478, 0, 20774 MiB, 85 %, 1950 MHz, 1950 MHz, 221.34 W, 61, P2, 0x0000000000000000
2026/08/26 22:06:35.478, 0, 20774 MiB, 82 %, 1950 MHz, 1950 MHz, 223.25 W, 61, P2, 0x0000000000000000
2026/08/26 22:06:36.479, 0, 20774 MiB, 82 %, 1950 MHz, 1950 MHz, 226.45 W, 62, P2, 0x0000000000000000
2026/08/26 22:06:37.479, 0, 20774 MiB, 78 %, 1950 MHz, 1950 MHz, 218.56 W, 62, P2, 0x0000000000000000
2026/08/26 22:06:38.479, 0, 20774 MiB, 85 %, 1950 MHz, 1950 MHz, 228.13 W, 62, P2, 0x0000000000000000
2026/08/26 22:06:39.479, 0, 20774 MiB, 85 %, 1950 MHz, 1950 MHz, 228.47 W, 62, P2, 0x0000000000000000
2026/08/26 22:06:40.479, 0, 20774 MiB, 85 %, 1950 MHz, 1950 MHz, 228.66 W, 62, P2, 0x0000000000000000
2026/08/26 22:06:41.479, 0, 20774 MiB, 83 %, 1950 MHz, 1950 MHz, 226.24 W, 62, P2, 0x0000000000000000
2026/08/26 22:06:42.480, 0, 20774 MiB, 82 %, 1950 MHz, 1950 MHz, 226.18 W, 62, P2, 0x0000000000000000
2026/08/26 22:06:43.480, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 224.53 W, 62, P2, 0x0000000000000000
2026/08/26 22:06:44.480, 0, 20774 MiB, 85 %, 1950 MHz, 1950 MHz, 226.22 W, 62, P2, 0x0000000000000000
2026/08/26 22:06:45.480, 0, 20774 MiB, 80 %, 1950 MHz, 1950 MHz, 227.27 W, 62, P2, 0x0000000000000000
2026/08/26 22:06:46.480, 0, 20774 MiB, 82 %, 1950 MHz, 1950 MHz, 226.85 W, 62, P2, 0x0000000000000000
2026/08/26 22:06:47.481, 0, 20774 MiB, 67 %, 1950 MHz, 1950 MHz, 210.99 W, 61, P2, 0x0000000000000000
2026/08/26 22:06:48.481, 0, 20774 MiB, 82 %, 1950 MHz, 1950 MHz, 224.18 W, 62, P2, 0x0000000000000000
