timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.sm [MHz], power.draw [W], temperature.gpu, pstate, clocks_event_reasons.active
2026/08/26 22:18:03.071, 0, 20144 MiB, 100 %, 1950 MHz, 1950 MHz, 170.17 W, 62, P2, 0x0000000000000000
2026/08/26 22:18:04.071, 0, 20144 MiB, 100 %, 1950 MHz, 1950 MHz, 169.94 W, 62, P2, 0x0000000000000000
2026/08/26 22:18:05.071, 0, 20144 MiB, 99 %, 1950 MHz, 1950 MHz, 169.35 W, 62, P2, 0x0000000000000000
2026/08/26 22:18:06.071, 0, 20144 MiB, 100 %, 1950 MHz, 1950 MHz, 169.77 W, 61, P2, 0x0000000000000000
2026/08/26 22:18:07.072, 0, 20144 MiB, 100 %, 1950 MHz, 1950 MHz, 169.11 W, 61, P2, 0x0000000000000000
2026/08/26 22:18:08.072, 0, 20144 MiB, 100 %, 1950 MHz, 1950 MHz, 168.93 W, 61, P2, 0x0000000000000000
2026/08/26 22:18:09.074, 0, 20816 MiB, 65 %, 1950 MHz, 1950 MHz, 240.92 W, 66, P2, 0x0000000000000004
2026/08/26 22:18:10.074, 0, 20816 MiB, 79 %, 1950 MHz, 1950 MHz, 323.61 W, 67, P2, 0x0000000000000004
2026/08/26 22:18:11.074, 0, 20816 MiB, 80 %, 1935 MHz, 1935 MHz, 325.32 W, 68, P2, 0x0000000000000004
2026/08/26 22:18:12.074, 0, 20816 MiB, 71 %, 1935 MHz, 1935 MHz, 291.73 W, 68, P2, 0x0000000000000004
2026/08/26 22:18:13.074, 0, 20816 MiB, 76 %, 1935 MHz, 1935 MHz, 323.79 W, 68, P2, 0x0000000000000004
2026/08/26 22:18:14.075, 0, 20816 MiB, 78 %, 1935 MHz, 1935 MHz, 319.77 W, 66, P2, 0x0000000000000004
2026/08/26 22:18:15.075, 0, 20816 MiB, 78 %, 1935 MHz, 1935 MHz, 291.22 W, 69, P2, 0x0000000000000004
2026/08/26 22:18:16.075, 0, 20816 MiB, 78 %, 1935 MHz, 1935 MHz, 325.54 W, 69, P2, 0x0000000000000004
2026/08/26 22:18:17.075, 0, 20816 MiB, 78 %, 1935 MHz, 1935 MHz, 293.96 W, 66, P2, 0x0000000000000004
2026/08/26 22:18:18.075, 0, 20816 MiB, 76 %, 1935 MHz, 1935 MHz, 309.13 W, 69, P2, 0x0000000000000004
2026/08/26 22:18:19.075, 0, 20816 MiB, 79 %, 1935 MHz, 1935 MHz, 331.98 W, 69, P2, 0x0000000000000004
2026/08/26 22:18:20.075, 0, 20816 MiB, 77 %, 1935 MHz, 1935 MHz, 294.18 W, 68, P2, 0x0000000000000004
2026/08/26 22:18:21.075, 0, 20816 MiB, 78 %, 1935 MHz, 1935 MHz, 330.55 W, 70, P2, 0x0000000000000004
2026/08/26 22:18:22.076, 0, 20816 MiB, 78 %, 1935 MHz, 1935 MHz, 331.96 W, 70, P2, 0x0000000000000004
2026/08/26 22:18:23.076, 0, 20824 MiB, 32 %, 1935 MHz, 1935 MHz, 266.88 W, 67, P2, 0x0000000000000000
2026/08/26 22:18:24.076, 0, 20824 MiB, 79 %, 1935 MHz, 1935 MHz, 320.46 W, 70, P2, 0x0000000000000004
2026/08/26 22:18:25.076, 0, 20824 MiB, 80 %, 1935 MHz, 1935 MHz, 333.86 W, 71, P2, 0x0000000000000004
2026/08/26 22:18:26.076, 0, 20824 MiB, 78 %, 1935 MHz, 1935 MHz, 303.79 W, 70, P2, 0x0000000000000004
2026/08/26 22:18:27.076, 0, 20824 MiB, 77 %, 1935 MHz, 1935 MHz, 333.39 W, 71, P2, 0x0000000000000004
2026/08/26 22:18:28.076, 0, 20824 MiB, 78 %, 1935 MHz, 1935 MHz, 333.21 W, 71, P2, 0x0000000000000004
2026/08/26 22:18:29.076, 0, 20824 MiB, 40 %, 1935 MHz, 1935 MHz, 303.40 W, 71, P2, 0x0000000000000004
2026/08/26 22:18:30.077, 0, 20824 MiB, 76 %, 1935 MHz, 1935 MHz, 334.36 W, 71, P2, 0x0000000000000004
2026/08/26 22:18:31.077, 0, 20824 MiB, 72 %, 1935 MHz, 1935 MHz, 333.36 W, 72, P2, 0x0000000000000004
2026/08/26 22:18:32.077, 0, 20824 MiB, 79 %, 1935 MHz, 1935 MHz, 297.23 W, 71, P2, 0x0000000000000004
2026/08/26 22:18:33.077, 0, 20824 MiB, 77 %, 1935 MHz, 1935 MHz, 335.91 W, 72, P2, 0x0000000000000004
2026/08/26 22:18:34.077, 0, 20824 MiB, 80 %, 1935 MHz, 1935 MHz, 324.19 W, 72, P2, 0x0000000000000004
2026/08/26 22:18:35.077, 0, 20824 MiB, 78 %, 1935 MHz, 1935 MHz, 300.46 W, 72, P2, 0x0000000000000004
2026/08/26 22:18:36.077, 0, 20824 MiB, 77 %, 1935 MHz, 1935 MHz, 334.54 W, 72, P2, 0x0000000000000004
2026/08/26 22:18:37.078, 0, 20824 MiB, 77 %, 1935 MHz, 1935 MHz, 303.28 W, 69, P2, 0x0000000000000004
2026/08/26 22:18:38.078, 0, 20824 MiB, 79 %, 1935 MHz, 1935 MHz, 318.88 W, 73, P2, 0x0000000000000004
2026/08/26 22:18:39.078, 0, 20824 MiB, 79 %, 1920 MHz, 1920 MHz, 334.89 W, 73, P2, 0x0000000000000004
2026/08/26 22:18:40.078, 0, 392 MiB, 80 %, 1920 MHz, 1920 MHz, 274.76 W, 68, P2, 0x0000000000000000
2026/08/26 22:18:41.078, 0, 82 MiB, 0 %, 1935 MHz, 1935 MHz, 173.76 W, 66, P0, 0x0000000000000000
2026/08/26 22:18:42.078, 0, 82 MiB, 0 %, 1935 MHz, 1935 MHz, 172.53 W, 66, P0, 0x0000000000000000
2026/08/26 22:18:43.078, 0, 82 MiB, 0 %, 1935 MHz, 1935 MHz, 165.79 W, 65, P3, 0x0000000000000001
2026/08/26 22:18:44.079, 0, 82 MiB, 0 %, 270 MHz, 270 MHz, 129.73 W, 60, P3, 0x0000000000000001
2026/08/26 22:18:45.079, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 89.88 W, 59, P3, 0x0000000000000001
2026/08/26 22:18:46.079, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 84.62 W, 59, P5, 0x0000000000000001
2026/08/26 22:18:47.079, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 75.28 W, 58, P5, 0x0000000000000001
2026/08/26 22:18:48.079, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 51.09 W, 58, P8, 0x0000000000000001
2026/08/26 22:18:49.079, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 36.80 W, 56, P8, 0x0000000000000001
2026/08/26 22:18:50.080, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 34.97 W, 54, P8, 0x0000000000000001
2026/08/26 22:18:51.087, 0, 346 MiB, 0 %, 1695 MHz, 1695 MHz, 52.78 W, 57, P2, 0x0000000000000000
2026/08/26 22:18:52.087, 0, 346 MiB, 0 %, 1965 MHz, 1965 MHz, 157.17 W, 59, P2, 0x0000000000000000
2026/08/26 22:18:53.087, 0, 346 MiB, 0 %, 1695 MHz, 1695 MHz, 155.05 W, 59, P2, 0x0000000000000000
2026/08/26 22:18:54.087, 0, 20144 MiB, 100 %, 1695 MHz, 1695 MHz, 128.96 W, 58, P2, 0x0000000000000000
2026/08/26 22:18:55.087, 0, 20144 MiB, 99 %, 1965 MHz, 1965 MHz, 152.73 W, 59, P2, 0x0000000000000000
2026/08/26 22:18:56.087, 0, 20144 MiB, 99 %, 1965 MHz, 1965 MHz, 154.68 W, 59, P2, 0x0000000000000000
2026/08/26 22:18:57.088, 0, 20144 MiB, 100 %, 1965 MHz, 1965 MHz, 154.62 W, 59, P2, 0x0000000000000000
2026/08/26 22:18:58.088, 0, 20144 MiB, 100 %, 1965 MHz, 1965 MHz, 154.27 W, 59, P2, 0x0000000000000000
2026/08/26 22:18:59.088, 0, 20144 MiB, 99 %, 1965 MHz, 1965 MHz, 154.16 W, 59, P2, 0x0000000000000000
2026/08/26 22:19:00.088, 0, 20786 MiB, 99 %, 1965 MHz, 1965 MHz, 154.19 W, 59, P2, 0x0000000000000000
2026/08/26 22:19:01.088, 0, 20816 MiB, 25 %, 1965 MHz, 1965 MHz, 160.01 W, 59, P2, 0x0000000000000000
2026/08/26 22:19:02.088, 0, 20816 MiB, 78 %, 1950 MHz, 1950 MHz, 291.22 W, 65, P2, 0x0000000000000000
2026/08/26 22:19:03.088, 0, 20816 MiB, 79 %, 1935 MHz, 1935 MHz, 321.68 W, 66, P2, 0x0000000000000000
2026/08/26 22:19:04.088, 0, 20816 MiB, 66 %, 1935 MHz, 1935 MHz, 293.43 W, 64, P2, 0x0000000000000000
2026/08/26 22:19:05.089, 0, 20816 MiB, 77 %, 1935 MHz, 1935 MHz, 313.91 W, 67, P2, 0x0000000000000000
2026/08/26 22:19:06.089, 0, 20816 MiB, 75 %, 1935 MHz, 1935 MHz, 324.73 W, 67, P2, 0x0000000000000000
2026/08/26 22:19:07.089, 0, 20816 MiB, 75 %, 1935 MHz, 1935 MHz, 290.16 W, 67, P2, 0x0000000000000000
2026/08/26 22:19:08.089, 0, 20816 MiB, 77 %, 1935 MHz, 1935 MHz, 323.96 W, 67, P2, 0x0000000000000000
2026/08/26 22:19:09.089, 0, 20816 MiB, 76 %, 1935 MHz, 1935 MHz, 325.39 W, 68, P2, 0x0000000000000000
2026/08/26 22:19:10.089, 0, 20816 MiB, 78 %, 1935 MHz, 1935 MHz, 283.77 W, 68, P2, 0x0000000000000000
2026/08/26 22:19:11.089, 0, 20816 MiB, 79 %, 1935 MHz, 1935 MHz, 329.04 W, 68, P2, 0x0000000000000000
2026/08/26 22:19:12.089, 0, 20816 MiB, 78 %, 1935 MHz, 1935 MHz, 327.95 W, 68, P2, 0x0000000000000000
2026/08/26 22:19:13.090, 0, 20816 MiB, 76 %, 1935 MHz, 1935 MHz, 291.08 W, 68, P2, 0x0000000000000000
2026/08/26 22:19:14.090, 0, 20816 MiB, 78 %, 1935 MHz, 1935 MHz, 327.91 W, 69, P2, 0x0000000000000000
2026/08/26 22:19:15.090, 0, 20824 MiB, 80 %, 1935 MHz, 1935 MHz, 331.10 W, 69, P2, 0x0000000000000000
2026/08/26 22:19:16.090, 0, 20824 MiB, 78 %, 1935 MHz, 1935 MHz, 257.93 W, 69, P2, 0x0000000000000000
2026/08/26 22:19:17.090, 0, 20824 MiB, 77 %, 1935 MHz, 1935 MHz, 329.33 W, 69, P2, 0x0000000000000000
2026/08/26 22:19:18.090, 0, 20824 MiB, 77 %, 1935 MHz, 1935 MHz, 328.75 W, 69, P2, 0x0000000000000000
2026/08/26 22:19:19.090, 0, 20824 MiB, 77 %, 1935 MHz, 1935 MHz, 291.82 W, 69, P2, 0x0000000000000000
2026/08/26 22:19:20.091, 0, 20824 MiB, 78 %, 1935 MHz, 1935 MHz, 330.46 W, 70, P2, 0x0000000000000000
2026/08/26 22:19:21.091, 0, 20824 MiB, 77 %, 1935 MHz, 1935 MHz, 330.32 W, 70, P2, 0x0000000000000000
2026/08/26 22:19:22.091, 0, 20824 MiB, 77 %, 1935 MHz, 1935 MHz, 292.78 W, 70, P2, 0x0000000000000000
2026/08/26 22:19:23.091, 0, 20824 MiB, 78 %, 1935 MHz, 1935 MHz, 330.64 W, 71, P2, 0x0000000000000000
2026/08/26 22:19:24.091, 0, 20824 MiB, 28 %, 1920 MHz, 1920 MHz, 320.69 W, 68, P2, 0x0000000000000000
2026/08/26 22:19:25.091, 0, 20824 MiB, 78 %, 1920 MHz, 1920 MHz, 291.51 W, 70, P2, 0x0000000000000000
2026/08/26 22:19:26.091, 0, 20824 MiB, 77 %, 1920 MHz, 1920 MHz, 328.77 W, 71, P2, 0x0000000000000000
2026/08/26 22:19:27.091, 0, 20824 MiB, 71 %, 1920 MHz, 1920 MHz, 303.91 W, 68, P2, 0x0000000000000000
2026/08/26 22:19:28.092, 0, 20824 MiB, 78 %, 1920 MHz, 1920 MHz, 307.95 W, 71, P2, 0x0000000000000000
2026/08/26 22:19:29.092, 0, 20824 MiB, 74 %, 1920 MHz, 1920 MHz, 327.83 W, 71, P2, 0x0000000000000000
2026/08/26 22:19:30.092, 0, 20824 MiB, 73 %, 1920 MHz, 1920 MHz, 293.91 W, 70, P2, 0x0000000000000000
2026/08/26 22:19:31.092, 0, 20824 MiB, 77 %, 1920 MHz, 1920 MHz, 323.41 W, 72, P2, 0x0000000000000000
2026/08/26 22:19:32.092, 0, 20824 MiB, 75 %, 1920 MHz, 1920 MHz, 329.81 W, 72, P2, 0x0000000000000000
2026/08/26 22:19:33.092, 0, 346 MiB, 100 %, 1920 MHz, 1920 MHz, 261.93 W, 67, P0, 0x0000000000000000
2026/08/26 22:19:34.141, 0, 346 MiB, 0 %, 1935 MHz, 1935 MHz, 176.52 W, 65, P2, 0x0000000000000000
2026/08/26 22:19:35.141, 0, 346 MiB, 1 %, 1695 MHz, 1695 MHz, 165.22 W, 64, P2, 0x0000000000000000
2026/08/26 22:19:36.141, 0, 346 MiB, 1 %, 1695 MHz, 1695 MHz, 137.81 W, 62, P2, 0x0000000000000000
2026/08/26 22:19:37.141, 0, 19044 MiB, 0 %, 1935 MHz, 1935 MHz, 133.27 W, 62, P2, 0x0000000000000000
2026/08/26 22:19:38.142, 0, 19044 MiB, 100 %, 1935 MHz, 1935 MHz, 167.78 W, 62, P2, 0x0000000000000000
