wall_iso,ts,gfx_mhz,gfx_max_mhz,mem_mhz,sm_mhz,power_w,power_limit_w,power_default_w,temp_c,util_pct,mem_used_mib,pstate,throttle_active,thr_sw_thermal,thr_hw_thermal,thr_hw_power_brake,thr_sw_power_cap,thr_gpu_idle
2026-08-25T21:25:02+08:00,2026/08/25 21:25:02.263, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 207.33 W, 350.00 W, 350.00 W, 62, 88 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:25:07+08:00,2026/08/25 21:25:07.289, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 207.01 W, 350.00 W, 350.00 W, 62, 89 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:25:12+08:00,2026/08/25 21:25:12.315, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 207.20 W, 350.00 W, 350.00 W, 62, 89 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:25:17+08:00,2026/08/25 21:25:17.343, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 208.35 W, 350.00 W, 350.00 W, 62, 89 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:25:22+08:00,2026/08/25 21:25:22.371, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 207.60 W, 350.00 W, 350.00 W, 62, 89 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:25:27+08:00,2026/08/25 21:25:27.393, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 206.51 W, 350.00 W, 350.00 W, 62, 89 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:25:32+08:00,2026/08/25 21:25:32.418, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 208.38 W, 350.00 W, 350.00 W, 62, 89 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:25:37+08:00,2026/08/25 21:25:37.444, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 209.22 W, 350.00 W, 350.00 W, 62, 89 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:25:42+08:00,2026/08/25 21:25:42.469, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 208.94 W, 350.00 W, 350.00 W, 62, 89 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:25:47+08:00,2026/08/25 21:25:47.498, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 209.82 W, 350.00 W, 350.00 W, 62, 89 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:25:52+08:00,2026/08/25 21:25:52.523, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 207.07 W, 350.00 W, 350.00 W, 62, 89 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:25:57+08:00,2026/08/25 21:25:57.550, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 208.77 W, 350.00 W, 350.00 W, 62, 88 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:26:02+08:00,2026/08/25 21:26:02.579, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 165.43 W, 350.00 W, 350.00 W, 60, 100 %, 21146 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:26:07+08:00,2026/08/25 21:26:07.614, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 165.11 W, 350.00 W, 350.00 W, 60, 99 %, 21146 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:26:12+08:00,2026/08/25 21:26:12.649, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 164.49 W, 350.00 W, 350.00 W, 60, 100 %, 21146 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:26:17+08:00,2026/08/25 21:26:17.683, 1935 MHz, 2100 MHz, 9501 MHz, 1935 MHz, 305.47 W, 350.00 W, 350.00 W, 67, 87 %, 21732 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T21:26:22+08:00,2026/08/25 21:26:22.709, 1920 MHz, 2100 MHz, 9501 MHz, 1920 MHz, 296.79 W, 350.00 W, 350.00 W, 69, 87 %, 21732 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T21:26:27+08:00,2026/08/25 21:26:27.738, 1800 MHz, 2100 MHz, 9501 MHz, 1800 MHz, 307.85 W, 350.00 W, 350.00 W, 68, 87 %, 21740 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T21:26:32+08:00,2026/08/25 21:26:32.769, 1920 MHz, 2100 MHz, 9501 MHz, 1920 MHz, 338.73 W, 350.00 W, 350.00 W, 71, 86 %, 21740 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T21:26:37+08:00,2026/08/25 21:26:37.796, 1935 MHz, 2100 MHz, 9501 MHz, 1935 MHz, 339.55 W, 350.00 W, 350.00 W, 72, 87 %, 21740 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T21:26:42+08:00,2026/08/25 21:26:42.825, 1920 MHz, 2100 MHz, 9501 MHz, 1920 MHz, 339.18 W, 350.00 W, 350.00 W, 73, 87 %, 21740 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T21:26:47+08:00,2026/08/25 21:26:47.852, 1935 MHz, 2100 MHz, 9501 MHz, 1935 MHz, 161.09 W, 350.00 W, 350.00 W, 63, 100 %, 21146 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:26:52+08:00,2026/08/25 21:26:52.881, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 171.14 W, 350.00 W, 350.00 W, 63, 99 %, 21146 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:26:57+08:00,2026/08/25 21:26:57.915, 1920 MHz, 2100 MHz, 9501 MHz, 1920 MHz, 338.59 W, 350.00 W, 350.00 W, 69, 86 %, 21732 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T21:27:02+08:00,2026/08/25 21:27:02.944, 1920 MHz, 2100 MHz, 9501 MHz, 1920 MHz, 341.00 W, 350.00 W, 350.00 W, 70, 87 %, 21732 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T21:27:07+08:00,2026/08/25 21:27:07.973, 1920 MHz, 2100 MHz, 9501 MHz, 1920 MHz, 295.10 W, 350.00 W, 350.00 W, 71, 87 %, 21732 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T21:27:12+08:00,2026/08/25 21:27:13.002, 1920 MHz, 2100 MHz, 9501 MHz, 1920 MHz, 310.42 W, 350.00 W, 350.00 W, 72, 88 %, 21740 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T21:27:18+08:00,2026/08/25 21:27:18.031, 1935 MHz, 2100 MHz, 9501 MHz, 1935 MHz, 321.77 W, 350.00 W, 350.00 W, 70, 56 %, 21740 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T21:27:23+08:00,2026/08/25 21:27:23.058, 1905 MHz, 2100 MHz, 9501 MHz, 1905 MHz, 339.96 W, 350.00 W, 350.00 W, 74, 88 %, 21740 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T21:27:28+08:00,2026/08/25 21:27:28.088, 1935 MHz, 2100 MHz, 9501 MHz, 1935 MHz, 166.82 W, 350.00 W, 350.00 W, 66, 53 %, 21146 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:27:33+08:00,2026/08/25 21:27:33.119, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 172.87 W, 350.00 W, 350.00 W, 64, 100 %, 21146 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:27:38+08:00,2026/08/25 21:27:38.154, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 173.35 W, 350.00 W, 350.00 W, 63, 16 %, 21702 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:27:43+08:00,2026/08/25 21:27:43.182, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 212.34 W, 350.00 W, 350.00 W, 64, 89 %, 22566 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:27:48+08:00,2026/08/25 21:27:48.210, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 210.63 W, 350.00 W, 350.00 W, 63, 89 %, 22566 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:27:53+08:00,2026/08/25 21:27:53.237, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 211.20 W, 350.00 W, 350.00 W, 63, 91 %, 22566 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:27:58+08:00,2026/08/25 21:27:58.265, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 211.28 W, 350.00 W, 350.00 W, 63, 88 %, 22566 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:28:03+08:00,2026/08/25 21:28:03.294, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 210.29 W, 350.00 W, 350.00 W, 62, 89 %, 22566 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:28:08+08:00,2026/08/25 21:28:08.321, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 209.63 W, 350.00 W, 350.00 W, 61, 89 %, 22566 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:28:13+08:00,2026/08/25 21:28:13.347, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 209.62 W, 350.00 W, 350.00 W, 62, 89 %, 22570 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:28:18+08:00,2026/08/25 21:28:18.375, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 209.75 W, 350.00 W, 350.00 W, 61, 89 %, 22570 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:28:23+08:00,2026/08/25 21:28:23.401, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 209.21 W, 350.00 W, 350.00 W, 61, 88 %, 22570 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:28:28+08:00,2026/08/25 21:28:28.428, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 209.60 W, 350.00 W, 350.00 W, 61, 89 %, 22570 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
