ts,util,mem_used,temp,pstate,clk_sm,clk_mem,pwr,throttle
2026/08/28 17:09:26.870, 78 %, 20824 MiB, 71, P2, 1935 MHz, 9501 MHz, 331.09 W, 0x0000000000000004
2026/08/28 17:09:31.888, 62 %, 20824 MiB, 71, P2, 1935 MHz, 9501 MHz, 301.33 W, 0x0000000000000004
2026/08/28 17:09:36.905, 100 %, 82 MiB, 68, P0, 1935 MHz, 9501 MHz, 266.10 W, 0x0000000000000000
2026/08/28 17:09:41.927, 0 %, 346 MiB, 62, P2, 1695 MHz, 9501 MHz, 165.55 W, 0x0000000000000000
2026/08/28 17:09:46.948, 99 %, 18082 MiB, 63, P2, 1950 MHz, 9501 MHz, 171.18 W, 0x0000000000000000
2026/08/28 17:09:51.972, 100 %, 18082 MiB, 62, P2, 1950 MHz, 9501 MHz, 170.29 W, 0x0000000000000000
2026/08/28 17:09:56.995, 72 %, 21828 MiB, 67, P2, 1950 MHz, 9501 MHz, 318.43 W, 0x0000000000000004
2026/08/28 17:10:02.016, 73 %, 21828 MiB, 68, P2, 1935 MHz, 9501 MHz, 322.70 W, 0x0000000000000004
2026/08/28 17:10:07.038, 70 %, 21830 MiB, 69, P2, 1935 MHz, 9501 MHz, 315.62 W, 0x0000000000000004
2026/08/28 17:10:12.059, 70 %, 21834 MiB, 69, P2, 1935 MHz, 9501 MHz, 318.14 W, 0x0000000000000004
2026/08/28 17:10:17.077, 72 %, 21834 MiB, 70, P2, 1935 MHz, 9501 MHz, 318.58 W, 0x0000000000000004
2026/08/28 17:10:22.095, 74 %, 21834 MiB, 71, P2, 1935 MHz, 9501 MHz, 311.89 W, 0x0000000000000004
2026/08/28 17:10:27.117, 0 %, 82 MiB, 64, P3, 1935 MHz, 9751 MHz, 165.61 W, 0x0000000000000000
2026/08/28 17:10:32.141, 99 %, 20144 MiB, 62, P2, 1950 MHz, 9501 MHz, 159.15 W, 0x0000000000000000
2026/08/28 17:10:37.168, 100 %, 20144 MiB, 61, P2, 1950 MHz, 9501 MHz, 158.02 W, 0x0000000000000000
2026/08/28 17:10:42.190, 78 %, 20816 MiB, 68, P2, 1935 MHz, 9501 MHz, 324.45 W, 0x0000000000000000
2026/08/28 17:10:47.211, 38 %, 20824 MiB, 66, P2, 1935 MHz, 9501 MHz, 312.15 W, 0x0000000000000000
2026/08/28 17:10:52.234, 77 %, 20824 MiB, 70, P2, 1935 MHz, 9501 MHz, 327.13 W, 0x0000000000000000
2026/08/28 17:10:57.255, 0 %, 346 MiB, 62, P2, 1950 MHz, 9501 MHz, 144.05 W, 0x0000000000000000
2026/08/28 17:11:02.276, 100 %, 17618 MiB, 61, P2, 1950 MHz, 9501 MHz, 167.96 W, 0x0000000000000000
2026/08/28 17:11:07.304, 99 %, 17618 MiB, 61, P2, 1950 MHz, 9501 MHz, 166.97 W, 0x0000000000000000
2026/08/28 17:11:12.325, 0 %, 20250 MiB, 60, P2, 1950 MHz, 9501 MHz, 165.78 W, 0x0000000000000000
2026/08/28 17:11:17.345, 42 %, 20280 MiB, 63, P2, 1935 MHz, 9501 MHz, 293.00 W, 0x0000000000000000
2026/08/28 17:11:22.366, 71 %, 20288 MiB, 67, P2, 1935 MHz, 9501 MHz, 308.05 W, 0x0000000000000000
2026/08/28 17:11:27.387, 66 %, 394 MiB, 64, P2, 1935 MHz, 9501 MHz, 257.35 W, 0x0000000000000000
2026/08/28 17:11:32.408, 0 %, 346 MiB, 61, P2, 1950 MHz, 9501 MHz, 165.69 W, 0x0000000000000000
2026/08/28 17:11:37.427, 100 %, 19362 MiB, 60, P2, 1950 MHz, 9501 MHz, 165.52 W, 0x0000000000000000
2026/08/28 17:11:42.453, 100 %, 19362 MiB, 60, P2, 1950 MHz, 9501 MHz, 164.58 W, 0x0000000000000000
2026/08/28 17:11:47.476, 82 %, 20768 MiB, 61, P2, 1950 MHz, 9501 MHz, 217.01 W, 0x0000000000000000
2026/08/28 17:11:52.496, 81 %, 20770 MiB, 61, P2, 1950 MHz, 9501 MHz, 221.29 W, 0x0000000000000000
2026/08/28 17:11:57.514, 77 %, 20772 MiB, 62, P2, 1950 MHz, 9501 MHz, 221.57 W, 0x0000000000000000
2026/08/28 17:12:02.532, 84 %, 20772 MiB, 62, P2, 1950 MHz, 9501 MHz, 223.31 W, 0x0000000000000000
2026/08/28 17:12:07.550, 85 %, 20772 MiB, 63, P2, 1950 MHz, 9501 MHz, 229.31 W, 0x0000000000000000
2026/08/28 17:12:12.572, 81 %, 20772 MiB, 62, P2, 1950 MHz, 9501 MHz, 220.24 W, 0x0000000000000000
2026/08/28 17:12:17.593, 84 %, 20772 MiB, 63, P2, 1950 MHz, 9501 MHz, 225.63 W, 0x0000000000000000
2026/08/28 17:12:22.615, 83 %, 20772 MiB, 62, P2, 1950 MHz, 9501 MHz, 221.06 W, 0x0000000000000000
2026/08/28 17:12:27.634, 83 %, 20774 MiB, 63, P2, 1950 MHz, 9501 MHz, 231.60 W, 0x0000000000000000
2026/08/28 17:12:32.651, 84 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 223.62 W, 0x0000000000000000
2026/08/28 17:12:37.671, 85 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 223.85 W, 0x0000000000000000
2026/08/28 17:12:42.690, 84 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 225.08 W, 0x0000000000000000
2026/08/28 17:12:47.708, 84 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 225.23 W, 0x0000000000000000
2026/08/28 17:12:52.728, 81 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 229.68 W, 0x0000000000000000
2026/08/28 17:12:57.748, 83 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 225.45 W, 0x0000000000000000
2026/08/28 17:13:02.767, 79 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 215.97 W, 0x0000000000000000
2026/08/28 17:13:07.785, 84 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 224.73 W, 0x0000000000000000
2026/08/28 17:13:12.805, 83 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 225.02 W, 0x0000000000000000
2026/08/28 17:13:17.836, 84 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 222.68 W, 0x0000000000000000
2026/08/28 17:13:22.853, 84 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 225.16 W, 0x0000000000000000
2026/08/28 17:13:27.945, 0 %, 346 MiB, 58, P0, 450 MHz, 5001 MHz, 136.20 W, 0x0000000000000000
2026/08/28 17:13:32.965, 100 %, 17618 MiB, 60, P2, 1950 MHz, 9501 MHz, 160.99 W, 0x0000000000000000
2026/08/28 17:13:37.988, 100 %, 17618 MiB, 60, P2, 1950 MHz, 9501 MHz, 163.36 W, 0x0000000000000000
2026/08/28 17:13:43.014, 93 %, 20276 MiB, 59, P2, 1950 MHz, 9501 MHz, 163.98 W, 0x0000000000000000
2026/08/28 17:13:48.036, 66 %, 20276 MiB, 65, P2, 1950 MHz, 9501 MHz, 282.28 W, 0x0000000000000000
2026/08/28 17:13:53.057, 78 %, 20280 MiB, 63, P2, 1935 MHz, 9501 MHz, 283.41 W, 0x0000000000000000
2026/08/28 17:13:58.077, 43 %, 20288 MiB, 65, P2, 1935 MHz, 9501 MHz, 301.21 W, 0x0000000000000000
2026/08/28 17:14:03.097, 69 %, 20288 MiB, 68, P2, 1935 MHz, 9501 MHz, 308.00 W, 0x0000000000000000
2026/08/28 17:14:08.115, 67 %, 20288 MiB, 69, P2, 1935 MHz, 9501 MHz, 309.35 W, 0x0000000000000000
