ts,util,mem_used,temp,pstate,clk_sm,clk_mem,pwr,throttle
2026/08/27 18:11:33.614, 0 %, 82 MiB, 67, P0, 1935 MHz, 9751 MHz, 170.05 W, 0x0000000000000024
2026/08/27 18:11:38.631, 100 %, 19362 MiB, 63, P2, 1935 MHz, 9501 MHz, 141.95 W, 0x0000000000000000
2026/08/27 18:11:43.655, 100 %, 19362 MiB, 63, P2, 1935 MHz, 9501 MHz, 170.62 W, 0x0000000000000000
2026/08/27 18:11:48.675, 55 %, 20004 MiB, 62, P2, 1950 MHz, 9501 MHz, 167.85 W, 0x0000000000000024
2026/08/27 18:11:53.692, 84 %, 20770 MiB, 65, P2, 1950 MHz, 9501 MHz, 229.68 W, 0x0000000000000000
2026/08/27 18:11:58.711, 81 %, 20774 MiB, 64, P2, 1950 MHz, 9501 MHz, 230.07 W, 0x0000000000000000
2026/08/27 18:12:03.729, 82 %, 20774 MiB, 64, P2, 1950 MHz, 9501 MHz, 231.61 W, 0x0000000000000000
2026/08/27 18:12:08.748, 82 %, 20774 MiB, 64, P2, 1950 MHz, 9501 MHz, 233.56 W, 0x0000000000000000
2026/08/27 18:12:13.768, 84 %, 20774 MiB, 64, P2, 1950 MHz, 9501 MHz, 231.12 W, 0x0000000000000000
2026/08/27 18:12:18.790, 84 %, 20774 MiB, 64, P2, 1950 MHz, 9501 MHz, 229.47 W, 0x0000000000000000
2026/08/27 18:12:23.808, 80 %, 20774 MiB, 64, P2, 1950 MHz, 9501 MHz, 226.13 W, 0x0000000000000000
2026/08/27 18:12:28.826, 83 %, 20774 MiB, 63, P2, 1950 MHz, 9501 MHz, 230.88 W, 0x0000000000000000
2026/08/27 18:12:33.843, 80 %, 20774 MiB, 64, P2, 1950 MHz, 9501 MHz, 217.80 W, 0x0000000000000004
2026/08/27 18:12:38.862, 85 %, 20774 MiB, 63, P2, 1950 MHz, 9501 MHz, 232.15 W, 0x0000000000000048
2026/08/27 18:12:43.881, 82 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 211.38 W, 0x0000000000000000
2026/08/27 18:12:48.902, 84 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 230.23 W, 0x0000000000000000
2026/08/27 18:12:53.922, 80 %, 20780 MiB, 64, P2, 1950 MHz, 9501 MHz, 232.76 W, 0x0000000000000000
2026/08/27 18:12:58.940, 80 %, 20780 MiB, 64, P2, 1950 MHz, 9501 MHz, 231.20 W, 0x0000000000000000
2026/08/27 18:13:03.961, 79 %, 20780 MiB, 64, P2, 1950 MHz, 9501 MHz, 231.04 W, 0x0000000000000000
2026/08/27 18:13:08.983, 66 %, 20780 MiB, 64, P2, 1950 MHz, 9501 MHz, 227.69 W, 0x0000000000000000
2026/08/27 18:13:14.004, 83 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 230.32 W, 0x0000000000000000
2026/08/27 18:13:19.024, 84 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 228.54 W, 0x0000000000000000
2026/08/27 18:13:24.046, 84 %, 20780 MiB, 64, P2, 1950 MHz, 9501 MHz, 228.37 W, 0x0000000000000000
2026/08/27 18:13:29.067, 83 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 227.04 W, 0x0000000000000000
2026/08/27 18:13:34.089, 80 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 231.36 W, 0x0000000000000000
2026/08/27 18:13:39.108, 82 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 229.50 W, 0x0000000000000000
