timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.sm [MHz], power.draw [W], temperature.gpu, pstate, clocks_event_reasons.active
2026/08/26 22:54:42.892, 0, 20276 MiB, 68 %, 1935 MHz, 1935 MHz, 285.15 W, 66, P2, 0x0000000000000000
2026/08/26 22:54:43.892, 0, 20276 MiB, 70 %, 1935 MHz, 1935 MHz, 313.23 W, 68, P2, 0x0000000000000000
2026/08/26 22:54:44.892, 0, 20276 MiB, 70 %, 1935 MHz, 1935 MHz, 286.22 W, 67, P2, 0x0000000000000000
2026/08/26 22:54:45.900, 0, 20276 MiB, 70 %, 1935 MHz, 1935 MHz, 312.02 W, 68, P2, 0x0000000000000000
2026/08/26 22:54:46.900, 0, 20276 MiB, 76 %, 1935 MHz, 1935 MHz, 291.47 W, 65, P2, 0x0000000000000000
2026/08/26 22:54:47.900, 0, 20276 MiB, 68 %, 1935 MHz, 1935 MHz, 290.19 W, 68, P2, 0x0000000000000000
2026/08/26 22:54:48.900, 0, 20276 MiB, 64 %, 1935 MHz, 1935 MHz, 312.24 W, 68, P2, 0x0000000000000000
2026/08/26 22:54:49.901, 0, 20280 MiB, 64 %, 1935 MHz, 1935 MHz, 281.37 W, 67, P2, 0x0000000000000000
2026/08/26 22:54:50.901, 0, 20280 MiB, 71 %, 1935 MHz, 1935 MHz, 313.78 W, 69, P2, 0x0000000000000000
2026/08/26 22:54:51.901, 0, 20284 MiB, 48 %, 1935 MHz, 1935 MHz, 295.73 W, 66, P2, 0x0000000000000000
2026/08/26 22:54:52.901, 0, 20288 MiB, 70 %, 1935 MHz, 1935 MHz, 196.01 W, 67, P2, 0x0000000000000000
2026/08/26 22:54:53.901, 0, 20288 MiB, 67 %, 1935 MHz, 1935 MHz, 307.80 W, 68, P2, 0x0000000000000000
2026/08/26 22:54:54.902, 0, 20288 MiB, 39 %, 1935 MHz, 1935 MHz, 303.26 W, 66, P2, 0x0000000000000000
2026/08/26 22:54:55.902, 0, 20288 MiB, 71 %, 1935 MHz, 1935 MHz, 230.66 W, 68, P2, 0x0000000000000004
2026/08/26 22:54:56.902, 0, 20288 MiB, 70 %, 1935 MHz, 1935 MHz, 316.56 W, 69, P2, 0x0000000000000000
2026/08/26 22:54:57.902, 0, 20288 MiB, 72 %, 1935 MHz, 1935 MHz, 285.33 W, 67, P2, 0x0000000000000004
2026/08/26 22:54:58.903, 0, 20288 MiB, 71 %, 1935 MHz, 1935 MHz, 306.05 W, 69, P2, 0x0000000000000000
2026/08/26 22:54:59.903, 0, 20288 MiB, 65 %, 1935 MHz, 1935 MHz, 312.14 W, 68, P2, 0x0000000000000000
2026/08/26 22:55:00.903, 0, 20288 MiB, 68 %, 1935 MHz, 1935 MHz, 287.07 W, 69, P2, 0x0000000000000000
2026/08/26 22:55:01.903, 0, 20288 MiB, 71 %, 1935 MHz, 1935 MHz, 315.55 W, 70, P2, 0x0000000000000000
2026/08/26 22:55:02.903, 0, 20288 MiB, 72 %, 1935 MHz, 1935 MHz, 284.55 W, 69, P2, 0x0000000000000000
2026/08/26 22:55:03.904, 0, 20288 MiB, 66 %, 1935 MHz, 1935 MHz, 317.41 W, 70, P2, 0x0000000000000000
2026/08/26 22:55:04.904, 0, 20288 MiB, 42 %, 1935 MHz, 1935 MHz, 298.91 W, 67, P2, 0x0000000000000000
2026/08/26 22:55:05.904, 0, 20288 MiB, 71 %, 1935 MHz, 1935 MHz, 294.80 W, 70, P2, 0x0000000000000000
2026/08/26 22:55:06.904, 0, 18802 MiB, 71 %, 1935 MHz, 1935 MHz, 319.01 W, 70, P2, 0x0000000000000004
2026/08/26 22:55:07.904, 0, 346 MiB, 0 %, 1935 MHz, 1935 MHz, 208.50 W, 65, P0, 0x0000000000000000
2026/08/26 22:55:08.933, 0, 346 MiB, 0 %, 1935 MHz, 1935 MHz, 171.25 W, 64, P2, 0x0000000000000000
2026/08/26 22:55:09.934, 0, 346 MiB, 7 %, 1935 MHz, 1935 MHz, 168.54 W, 64, P2, 0x0000000000000000
2026/08/26 22:55:10.934, 0, 346 MiB, 8 %, 1695 MHz, 1695 MHz, 145.46 W, 61, P2, 0x0000000000000000
2026/08/26 22:55:11.934, 0, 19362 MiB, 100 %, 1950 MHz, 1950 MHz, 136.53 W, 62, P2, 0x0000000000000000
2026/08/26 22:55:12.934, 0, 19362 MiB, 100 %, 1950 MHz, 1950 MHz, 170.29 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:13.935, 0, 19362 MiB, 100 %, 1950 MHz, 1950 MHz, 168.18 W, 62, P2, 0x0000000000000000
2026/08/26 22:55:14.935, 0, 19362 MiB, 100 %, 1950 MHz, 1950 MHz, 168.50 W, 62, P2, 0x0000000000000000
2026/08/26 22:55:15.935, 0, 19362 MiB, 100 %, 1950 MHz, 1950 MHz, 168.80 W, 62, P2, 0x0000000000000000
2026/08/26 22:55:16.935, 0, 19362 MiB, 100 %, 1950 MHz, 1950 MHz, 167.54 W, 61, P2, 0x0000000000000000
2026/08/26 22:55:17.935, 0, 19362 MiB, 99 %, 1950 MHz, 1950 MHz, 160.91 W, 61, P2, 0x0000000000000000
2026/08/26 22:55:18.935, 0, 19362 MiB, 100 %, 1950 MHz, 1950 MHz, 158.09 W, 61, P2, 0x0000000000000000
2026/08/26 22:55:19.936, 0, 20502 MiB, 66 %, 1950 MHz, 1950 MHz, 158.04 W, 61, P2, 0x0000000000000000
2026/08/26 22:55:20.936, 0, 20768 MiB, 24 %, 1950 MHz, 1950 MHz, 164.65 W, 61, P2, 0x0000000000000000
2026/08/26 22:55:21.936, 0, 20768 MiB, 86 %, 1950 MHz, 1950 MHz, 215.62 W, 63, P2, 0x0000000000000000
