timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.sm [MHz], power.draw [W], temperature.gpu, pstate, clocks_event_reasons.active
2026/08/26 20:39:57.076, 0, 20816 MiB, 78 %, 1950 MHz, 1950 MHz, 332.56 W, 69, P2, 0x0000000000000000
2026/08/26 20:39:58.076, 0, 20816 MiB, 78 %, 1950 MHz, 1950 MHz, 289.63 W, 69, P2, 0x0000000000000000
2026/08/26 20:39:59.076, 0, 20816 MiB, 78 %, 1935 MHz, 1935 MHz, 332.44 W, 69, P2, 0x0000000000000000
2026/08/26 20:40:00.077, 0, 20816 MiB, 77 %, 1935 MHz, 1935 MHz, 330.07 W, 70, P2, 0x0000000000000000
2026/08/26 20:40:01.077, 0, 20816 MiB, 78 %, 1935 MHz, 1935 MHz, 287.36 W, 70, P2, 0x0000000000000000
2026/08/26 20:40:02.077, 0, 20816 MiB, 79 %, 1935 MHz, 1935 MHz, 333.55 W, 70, P2, 0x0000000000000000
2026/08/26 20:40:03.077, 0, 20824 MiB, 79 %, 1935 MHz, 1935 MHz, 320.27 W, 67, P2, 0x0000000000000000
2026/08/26 20:40:04.077, 0, 20824 MiB, 79 %, 1935 MHz, 1935 MHz, 259.25 W, 70, P2, 0x0000000000000000
2026/08/26 20:40:05.078, 0, 20824 MiB, 79 %, 1935 MHz, 1935 MHz, 333.45 W, 70, P2, 0x0000000000000000
2026/08/26 20:40:06.078, 0, 20824 MiB, 78 %, 1935 MHz, 1935 MHz, 332.57 W, 71, P2, 0x0000000000000000
2026/08/26 20:40:07.078, 0, 20824 MiB, 77 %, 1935 MHz, 1935 MHz, 289.30 W, 71, P2, 0x0000000000000000
2026/08/26 20:40:08.078, 0, 20824 MiB, 79 %, 1935 MHz, 1935 MHz, 334.99 W, 71, P2, 0x0000000000000000
2026/08/26 20:40:09.078, 0, 20824 MiB, 77 %, 1935 MHz, 1935 MHz, 322.98 W, 68, P2, 0x0000000000000000
2026/08/26 20:40:10.079, 0, 20824 MiB, 78 %, 1935 MHz, 1935 MHz, 306.10 W, 71, P2, 0x0000000000000000
2026/08/26 20:40:11.079, 0, 20824 MiB, 77 %, 1935 MHz, 1935 MHz, 338.47 W, 72, P2, 0x0000000000000000
2026/08/26 20:40:12.079, 0, 20824 MiB, 78 %, 1860 MHz, 1860 MHz, 305.57 W, 69, P2, 0x0000000000000004
2026/08/26 20:40:13.079, 0, 20824 MiB, 74 %, 1935 MHz, 1935 MHz, 316.53 W, 72, P2, 0x0000000000000000
2026/08/26 20:40:14.080, 0, 20824 MiB, 78 %, 1935 MHz, 1935 MHz, 337.58 W, 72, P2, 0x0000000000000000
2026/08/26 20:40:15.080, 0, 20824 MiB, 79 %, 1935 MHz, 1935 MHz, 304.15 W, 72, P2, 0x0000000000000000
2026/08/26 20:40:16.080, 0, 20824 MiB, 77 %, 1935 MHz, 1935 MHz, 337.20 W, 73, P2, 0x0000000000000000
2026/08/26 20:40:17.080, 0, 20824 MiB, 78 %, 1935 MHz, 1935 MHz, 339.53 W, 73, P2, 0x0000000000000000
2026/08/26 20:40:18.080, 0, 20824 MiB, 32 %, 1935 MHz, 1935 MHz, 304.75 W, 73, P2, 0x0000000000000000
